code_mission_et_indicateur;Type de secteur;Budget;Code Mission;Mission;Code Programme;Programme;Code Objectif;Libellé Objectif;Ref programme pour objectif mission ou mention 'Objectif mission' pour objectif programme;Code Indicateur;Libellé Indicateur;Ref programme pour indicateur mission ou mention 'Indicateur mission' pour indicateur programme;Facteur de performance;Code Sous Indicateur;Libellé Sous Indicateur;Cotation Budget Vert / Egalité HF;Unité;Exec 2022;Exec 2023;2024 Cible;Exec 2024;Atteinte de la cible 2024;2025 Cible
CA-P164-3-2;Programme;BG;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;P164-3;Assister les pouvoirs publics;;P164-3-2;Avis rendus par le Haut-Conseil des Finances publiques;;Usager;30932.0;Haut Conseil des Finances Publiques;;Nb;5;6;6;5;absence amélioration;6
CA-P164-4-1;Programme;BG;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;P164-4;Sanctionner les irrégularités et les fautes de gestion;;P164-4-1;Suites données aux irrégularités;;Usager;20929.0;Nombre de déférés des juridictions financières;;Nb;Sans objet;6;36;56;cible atteinte;42
CA-P164-4-1;Programme;BG;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;P164-4;Sanctionner les irrégularités et les fautes de gestion;;P164-4-1;Suites données aux irrégularités;;Usager;31227.0;Nombre de communications administratives;Vide;Nb;Sans objet;Sans objet;300-350;Non connu;donnée non renseignée;300-350
CA-P164-4-1;Programme;BG;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;P164-4;Sanctionner les irrégularités et les fautes de gestion;;P164-4-1;Suites données aux irrégularités;;Usager;31226.0;Nombre de réquisitoires pris par le ministère public;Vide;Nb;Sans objet;Sans objet;45;48;cible atteinte;45
CA-P165-1-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;(Indicateur Mission);Usager;24557.0;devant la Cour nationale du droit d'asile, pour les procédures accélérées;;année;5 mois et 8 jours;4 mois et 29 jours;6 semaines;4 mois et 11 jours;amélioration;5 semaines
CA-P165-1-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;(Indicateur Mission);Usager;24555.0;devant les tribunaux administratifs;;année;9 mois et 20 jours;9 mois et 20 jours;9 mois et 15 jours;9 mois et 29 jours;absence amélioration;9 mois
CA-P165-1-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;(Indicateur Mission);Usager;24556.0;devant la Cour nationale du droit d'asile, pour les procédures ordinaires;;année;7 mois et 5 jours;6 mois et 26 jours;5 mois et 15 jours;5 mois et 23 jours;amélioration;5 mois
CA-P165-1-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;(Indicateur Mission);Usager;24553.0;devant le Conseil d'État;;année;7 mois et 14 jours;7 mois et 8 jours;9 mois;7 mois et 8 jours;cible atteinte;9 mois
CA-P165-1-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;(Indicateur Mission);Usager;24554.0;devant les cours administratives d'appel;;année;11 mois et 18 jours;11 mois et 16 jours;11 mois;11 mois et 12 jours;amélioration;11 mois
CA-P165-1-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;(Indicateur Mission);Usager;31580.0;devant la Commission du contentieux du stationnement payant;;année;19 mois et 26 jours;20 mois et 18 jours;26 mois et 9 jours;24 mois et 5 jours;cible atteinte;27 mois et 3 jours
CA-P165-1-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-2;roportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'État, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile et à la Commission du contentieux du stationnement payant;;Usager;13815.0;A la Cour nationale du droit d'asile;;%;16,7;8,6;10;10;cible atteinte;10
CA-P165-1-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-2;roportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'État, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile et à la Commission du contentieux du stationnement payant;;Usager;31581.0;A la Commission du contentieux du stationnement payant;;%;34,6;43;65;63;cible atteinte;65
CA-P165-1-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-2;roportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'État, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile et à la Commission du contentieux du stationnement payant;;Usager;3317.0;Au Conseil d'État;;%;2,3;1,8;2,3;1,9;cible atteinte;2,3
CA-P165-1-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-2;roportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'État, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile et à la Commission du contentieux du stationnement payant;;Usager;3318.0;Dans les cours administratives d'appel;;%;4,7;4,6;4,5;4,7;absence amélioration;4
CA-P165-1-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;(Objectif Mission);P165-1-2;roportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'État, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile et à la Commission du contentieux du stationnement payant;;Usager;3320.0;Dans les tribunaux administratifs;;%;10,3;12;8,5;11,3;amélioration;8
CA-P165-2-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-2;Maintenir la qualité des décisions juridictionnelles;;P165-2-1;Taux d'annulation des décisions juridictionnelles;;Usager;8169.0;Taux d’annulation par les cours administratives d’appel des jugements des tribunaux administratifs.;;%;15;15,8;15;15,8;absence amélioration;15
CA-P165-2-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-2;Maintenir la qualité des décisions juridictionnelles;;P165-2-1;Taux d'annulation des décisions juridictionnelles;;Usager;8033.0;Taux d’annulation par le Conseil d’État des arrêts des cours administratives d’appel.;;%;15;16,1;<15;13,6;cible atteinte;<15
CA-P165-2-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-2;Maintenir la qualité des décisions juridictionnelles;;P165-2-1;Taux d'annulation des décisions juridictionnelles;;Usager;31582.0;Taux d'annulation par le Conseil d'État des décisions de la Commission du contentieux du stationnement payant;;%;10;10;10;10;cible atteinte;10
CA-P165-2-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-2;Maintenir la qualité des décisions juridictionnelles;;P165-2-1;Taux d'annulation des décisions juridictionnelles;;Usager;7820.0;Taux d’annulation par le Conseil d’État des jugements des tribunaux administratifs.;;%;16;13,9;<15;11,6;cible atteinte;<15
CA-P165-2-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-2;Maintenir la qualité des décisions juridictionnelles;;P165-2-1;Taux d'annulation des décisions juridictionnelles;;Usager;13816.0;Taux d'annulation par le Conseil d'État des décisions de la Cour nationale du droit d'asile;;%;4,2;6;3;9;absence amélioration;3
CA-P165-3-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-1;Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile;;Contribuable;4033.0;Au Conseil d'État;;Nb;78;78;85;80;amélioration;85
CA-P165-3-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-1;Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile;;Contribuable;19890.0;A la Cour nationale du droit d'asile;;Nb;213;218;265;204;absence amélioration;265
CA-P165-3-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-1;Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile;;Contribuable;4035.0;Dans les tribunaux administratifs;;Nb;289;295;280;291;cible atteinte;280
CA-P165-3-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-1;Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile;;Contribuable;4034.0;Dans les cours administratives d'appel;;Nb;125;126;135;125;absence amélioration;135
CA-P165-3-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-2;Nombre d'affaires réglées par agent de greffe;;Contribuable;31583.0;A Commission du contentieux du stationnement payant;;Nb;841;1020;1072;1020;absence amélioration;1136
CA-P165-3-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-2;Nombre d'affaires réglées par agent de greffe;;Contribuable;3336.0;Dans les cours administratives d'appel.;;Nb;115;115;130;114;absence amélioration;130
CA-P165-3-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-2;Nombre d'affaires réglées par agent de greffe;;Contribuable;3335.0;Au Conseil d'Etat.;;Nb;190;185;190;186;amélioration;190
CA-P165-3-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-2;Nombre d'affaires réglées par agent de greffe;;Contribuable;3337.0;Dans les tribunaux administratifs.;;Nb;236;243;220;253;cible atteinte;220
CA-P165-3-2;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-3;Améliorer l'efficience des juridictions;;P165-3-2;Nombre d'affaires réglées par agent de greffe;;Contribuable;19891.0;A la Cour nationale du droit d'asile;;Nb;258;258;290;234;absence amélioration;290
CA-P165-4-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-4;Assurer l'efficacité du travail consultatif;;P165-4-1;Proportion des textes examinés en moins de deux mois par les sections administratives du Conseil d'État;;Usager;6367.0;Décrets;;%;99;99;90;98,9;cible atteinte;90
CA-P165-4-1;Programme;BG;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;P165-4;Assurer l'efficacité du travail consultatif;;P165-4-1;Proportion des textes examinés en moins de deux mois par les sections administratives du Conseil d'État;;Usager;6366.0;Lois et ordonnances;;%;100;97;95;98,1;cible atteinte;95
CB-MCB-1-1;Mission;BG;CB;Culture;;;MCB-1;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif du P131);MCB-1-1;Fréquentation des lieux subventionnés;(Indicateur du P131);Citoyen;16493.0;Arts visuels : Part du public scolaire dans la fréquentation totale des lieux subventionnés;;%;14;14;15;14,23;amélioration;15
CB-MCB-1-1;Mission;BG;CB;Culture;;;MCB-1;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif du P131);MCB-1-1;Fréquentation des lieux subventionnés;(Indicateur du P131);Citoyen;2353.0;Arts visuels : Fréquentation totale des lieux subventionnés;;Nb;3204305;4043343;>3 000 000;3225197;cible atteinte;>3 200 000
CB-MCB-1-1;Mission;BG;CB;Culture;;;MCB-1;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif du P131);MCB-1-1;Fréquentation des lieux subventionnés;(Indicateur du P131);Citoyen;25300.0;Spectacle vivant : Part des jeunes (hors scolaires) dans la fréquentation payante;;%;17;16;13;14;cible atteinte;15
CB-MCB-1-1;Mission;BG;CB;Culture;;;MCB-1;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif du P131);MCB-1-1;Fréquentation des lieux subventionnés;(Indicateur du P131);Citoyen;16492.0;Spectacle vivant : Part du public scolaire dans la fréquentation payante des lieux subventionnés;;%;partiel;15,1;17;15,7;amélioration;15
CB-MCB-1-1;Mission;BG;CB;Culture;;;MCB-1;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif du P131);MCB-1-1;Fréquentation des lieux subventionnés;(Indicateur du P131);Citoyen;2014.0;Spectacle vivant : Fréquentation payante des lieux subventionnés;;Nb;4991451;5207615;5800000;10665653;cible atteinte;9600000
CB-MCB-2-1;Mission;BG;CB;Culture;;;MCB-2;Accroître l'accès du public au patrimoine national;(Objectif du P175);MCB-2-1;Fréquentation des institutions patrimoniales et architecturales;(Indicateur du P175);Citoyen;3609.0;Part des moins de 18 ans dans la fréquentation totale des institutions patrimoniales et architecturales;;%;15,2;14,7;>16;13,9;absence amélioration;>16
CB-MCB-2-1;Mission;BG;CB;Culture;;;MCB-2;Accroître l'accès du public au patrimoine national;(Objectif du P175);MCB-2-1;Fréquentation des institutions patrimoniales et architecturales;(Indicateur du P175);Citoyen;16740.0;Part des 18-25 ans résidents de l'Union Européenne dans la fréquentation totale des institutions patrimoniales et architecturales;;%;11,2;9,3;>10;10,8;cible atteinte;>10
CB-MCB-2-1;Mission;BG;CB;Culture;;;MCB-2;Accroître l'accès du public au patrimoine national;(Objectif du P175);MCB-2-1;Fréquentation des institutions patrimoniales et architecturales;(Indicateur du P175);Citoyen;3605.0;Évolution de la fréquentation physique payante et gratuite des institutions patrimoniales et architecturales;;millions;42,7;48,5;45;48,3;cible atteinte;>45
CB-MCB-3-1;Mission;BG;CB;Culture;;;MCB-3;Améliorer l'insertion professionnelle des diplômés de l'enseignement supérieur;(Objectif du P361);MCB-3-1;Taux d'insertion professionnelle des diplômés de l'enseignement supérieur Culture;(Indicateur du P361);Citoyen;16939.0;Architecture et patrimoine;;%;94;92;92;89;absence amélioration;93
CB-MCB-3-1;Mission;BG;CB;Culture;;;MCB-3;Améliorer l'insertion professionnelle des diplômés de l'enseignement supérieur;(Objectif du P361);MCB-3-1;Taux d'insertion professionnelle des diplômés de l'enseignement supérieur Culture;(Indicateur du P361);Citoyen;16528.0;Établissements d'ESC global;;%;93;90;88;90;cible atteinte;89
CB-MCB-3-1;Mission;BG;CB;Culture;;;MCB-3;Améliorer l'insertion professionnelle des diplômés de l'enseignement supérieur;(Objectif du P361);MCB-3-1;Taux d'insertion professionnelle des diplômés de l'enseignement supérieur Culture;(Indicateur du P361);Citoyen;16941.0;Spectacle vivant et cinéma;;%;95;96;91;95;cible atteinte;92
CB-MCB-3-1;Mission;BG;CB;Culture;;;MCB-3;Améliorer l'insertion professionnelle des diplômés de l'enseignement supérieur;(Objectif du P361);MCB-3-1;Taux d'insertion professionnelle des diplômés de l'enseignement supérieur Culture;(Indicateur du P361);Citoyen;16940.0;Arts Plastiques;;%;88;83;81;85;cible atteinte;82
CB-MCB-4-1;Mission;BG;CB;Culture;;;MCB-4;Favoriser un accès équitable à la culture notamment grâce au développement de l'éducation artistique et culturelle;(Objectif du P361);MCB-4-1;Part des enfants et adolescents ayant bénéficié d'une action d'éducation artistique et culturelle;(Indicateur du P361);Usager;8054.0;Part des enfants scolarisés en école ou collège se voyant proposer une action d’EAC en temps scolaire;;%;76;77;85;58;absence amélioration;80
CB-P131-1-1;Programme;BG;CB;Culture;131;Création;P131-1;Inciter à l'innovation et à la diversité de la création;;P131-1-1;Place de la création dans la programmation des structures de production subventionnées;;Citoyen;8124.0;Part de la programmation de créations dans les fauteuils mis en vente;;%;Non déterminé;37;>45;32;absence amélioration;>40
CB-P131-2-1;Programme;BG;CB;Culture;131;Création;P131-2;Donner des bases économiques et professionnelles solides à la création;;P131-2-1;Équilibre financier des opérateurs;;Contribuable;25299.0;Taux de ressources propres des opérateurs du spectacle vivant;;%;42,4;44,8;>43;46,9;cible atteinte;>40
CB-P131-2-1;Programme;BG;CB;Culture;131;Création;P131-2;Donner des bases économiques et professionnelles solides à la création;;P131-2-1;Équilibre financier des opérateurs;;Contribuable;25298.0;Part des fonctions supports au budget;;%;53;54;<55;53;cible atteinte;<55
CB-P131-2-2;Programme;BG;CB;Culture;131;Création;P131-2;Donner des bases économiques et professionnelles solides à la création;;P131-2-2;Promotion de l'emploi artistique;;Citoyen;6403.0;Spectacle vivant : part de la masse salariale artistique dans la masse salariale totale;;%;24,7;22,4;>28;22,7;amélioration;>25
CB-P131-2-2;Programme;BG;CB;Culture;131;Création;P131-2;Donner des bases économiques et professionnelles solides à la création;;P131-2-2;Promotion de l'emploi artistique;;Citoyen;6404.0;Arts visuels : part des crédits d'acquisition et de commandes versés directement à des artistes dans les budgets des FRAC et du CNAP;;%;6,5;5,33;9;5,02;absence amélioration;9
CB-P131-3-1;Programme;BG;CB;Culture;131;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif Mission);P131-3-1;Fréquentation des lieux subventionnés;(Indicateur Mission);Citoyen;25300.0;Spectacle vivant : Part des jeunes (hors scolaires) dans la fréquentation payante;;%;17;16;13;14;cible atteinte;15
CB-P131-3-1;Programme;BG;CB;Culture;131;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif Mission);P131-3-1;Fréquentation des lieux subventionnés;(Indicateur Mission);Citoyen;2353.0;Arts visuels : Fréquentation totale des lieux subventionnés;;Nb;3204305;4043343;>3 000 000;3225197;cible atteinte;>3 200 000
CB-P131-3-1;Programme;BG;CB;Culture;131;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif Mission);P131-3-1;Fréquentation des lieux subventionnés;(Indicateur Mission);Citoyen;16492.0;Spectacle vivant : Part du public scolaire dans la fréquentation payante des lieux subventionnés;;%;partiel;15,1;17;15,7;amélioration;15
CB-P131-3-1;Programme;BG;CB;Culture;131;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif Mission);P131-3-1;Fréquentation des lieux subventionnés;(Indicateur Mission);Citoyen;2014.0;Spectacle vivant : Fréquentation payante des lieux subventionnés;;Nb;4991451;5207615;5800000;10665653;cible atteinte;9600000
CB-P131-3-1;Programme;BG;CB;Culture;131;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;(Objectif Mission);P131-3-1;Fréquentation des lieux subventionnés;(Indicateur Mission);Citoyen;16493.0;Arts visuels : Part du public scolaire dans la fréquentation totale des lieux subventionnés;;%;14;14;15;14,23;amélioration;15
CB-P131-4-1;Programme;BG;CB;Culture;131;Création;P131-4;Diffuser davantage les oeuvres et les productions culturelles en France et à l'étranger;;P131-4-1;Effort de diffusion territoriale;;Citoyen;6406.0;Arts visuels : taux des manifestations hors les murs réalisées par les FRAC;;%;67;79;>80;77;absence amélioration;>80
CB-P131-4-1;Programme;BG;CB;Culture;131;Création;P131-4;Diffuser davantage les oeuvres et les productions culturelles en France et à l'étranger;;P131-4-1;Effort de diffusion territoriale;;Citoyen;6405.0;Spectacle vivant : taux de représentations en tournée hors les murs des structures de production et de diffusion subventionnées;;%;non déterminé;45;>37;47;cible atteinte;>40
CB-P131-4-2;Programme;BG;CB;Culture;131;Création;P131-4;Diffuser davantage les oeuvres et les productions culturelles en France et à l'étranger;;P131-4-2;Intensité de représentation et de diffusion des spectacles;;Contribuable;21878.0;Nombre moyen de représentations par spectacle dans les murs et par lieu sur une saison;;ratio;3,6;2,9;>3,6;3,05;amélioration;>3,2
CB-P175-1-1;Programme;BG;CB;Culture;175;Patrimoines;P175-1;Améliorer la connaissance et la conservation des patrimoines;;P175-1-1;Part des crédits de conservation préventive par rapport aux crédits de restauration des monuments historiques;;Contribuable;17676.0;Part des crédits de conservation préventive par rapport aux crédits de restauration des monuments historiques;;%;16,81;15,98;>=18;17,70;amélioration;>=18
CB-P175-1-2;Programme;BG;CB;Culture;175;Patrimoines;P175-1;Améliorer la connaissance et la conservation des patrimoines;;P175-1-2;Archéologie préventive : Proportion des dossiers d'aménagement reçus faisant l'objet d'un arrêté de prescription de diagnostic et/ou d'un arrêté de prescription de fouilles préventives;;Citoyen;20705.0;Archéologie préventive : Proportion des dossiers d'aménagement reçus faisant l'objet d'un arrêté de prescription de fouilles préventives;;%;1,62;1,74;entre 1,5 et 2;1,47;absence amélioration;entre 1,5 et 2
CB-P175-1-2;Programme;BG;CB;Culture;175;Patrimoines;P175-1;Améliorer la connaissance et la conservation des patrimoines;;P175-1-2;Archéologie préventive : Proportion des dossiers d'aménagement reçus faisant l'objet d'un arrêté de prescription de diagnostic et/ou d'un arrêté de prescription de fouilles préventives;;Citoyen;20704.0;Archéologie préventive : Proportion des dossiers d'aménagement reçus faisant l'objet d'un arrêté de prescription de diagnostic;;%;7,86;7,65;entre 6 et 8;6,34;cible atteinte;entre 6 et 8
CB-P175-1-3;Programme;BG;CB;Culture;175;Patrimoines;P175-1;Améliorer la connaissance et la conservation des patrimoines;;P175-1-3;Qualité de la maîtrise d'ouvrage État;;Contribuable;19968.0;Respect de la programmation des opérations sous convention de mandat de maîtrise d’ouvrage OPPIC;;%;101,76;100,73;110;102;cible atteinte;110
CB-P175-2-1;Programme;BG;CB;Culture;175;Patrimoines;P175-2;Accroître l'accès du public au patrimoine national;(Objectif Mission);P175-2-1;Fréquentation des institutions patrimoniales et architecturales;(Indicateur Mission);Citoyen;3609.0;Part des moins de 18 ans dans la fréquentation totale des institutions patrimoniales et architecturales;;%;15,2;14,7;>16;13,9;absence amélioration;>16
CB-P175-2-1;Programme;BG;CB;Culture;175;Patrimoines;P175-2;Accroître l'accès du public au patrimoine national;(Objectif Mission);P175-2-1;Fréquentation des institutions patrimoniales et architecturales;(Indicateur Mission);Citoyen;16740.0;Part des 18-25 ans résidents de l'Union Européenne dans la fréquentation totale des institutions patrimoniales et architecturales;;%;11,2;9,3;>10;10,8;cible atteinte;>10
CB-P175-2-1;Programme;BG;CB;Culture;175;Patrimoines;P175-2;Accroître l'accès du public au patrimoine national;(Objectif Mission);P175-2-1;Fréquentation des institutions patrimoniales et architecturales;(Indicateur Mission);Citoyen;3605.0;Évolution de la fréquentation physique payante et gratuite des institutions patrimoniales et architecturales;;millions;42,7;48,5;45;48,3;cible atteinte;>45
CB-P175-2-2;Programme;BG;CB;Culture;175;Patrimoines;P175-2;Accroître l'accès du public au patrimoine national;(Objectif Mission);P175-2-2;Accessibilité des collections au public;;Citoyen;25886.0;Musées nationaux : taux d'ouverture des salles;;%;87;90;>95;89;absence amélioration;>95
CB-P175-2-2;Programme;BG;CB;Culture;175;Patrimoines;P175-2;Accroître l'accès du public au patrimoine national;(Objectif Mission);P175-2-2;Accessibilité des collections au public;;Citoyen;23334.0;Archives : documents textuels et iconographiques numérisés par les services d'archives publiques;;%;88;86;>80;88;cible atteinte;>80
CB-P175-2-3;Programme;BG;CB;Culture;175;Patrimoines;P175-2;Accroître l'accès du public au patrimoine national;(Objectif Mission);P175-2-3;Taux de satisfaction du public des institutions et des sites patrimoniaux;;Usager;19757.0;Part des visiteurs très satisfaits de leur visite;;%;79,5;81;75;80;cible atteinte;75
CB-P175-3-1;Programme;BG;CB;Culture;175;Patrimoines;P175-3;Elargir les sources d'enrichissement des patrimoines publics;;P175-3-1;Effet de levier de la participation financière de l’État dans les travaux de restauration des monuments historiques qui ne lui appartiennent pas;;Contribuable;3585.0;Montant des crédits des partenaires sur travaux MH / Montant des subventions versées par l'État;;ratio;2,2;2,4;>2;2,4;cible atteinte;>2
CB-P175-3-2;Programme;BG;CB;Culture;175;Patrimoines;P175-3;Elargir les sources d'enrichissement des patrimoines publics;;P175-3-2;Taux de ressources propres des institutions patrimoniales et architecturales;;Contribuable;23335.0;Taux de ressources propres des institutions patrimoniales et architecturales;;%;41,46;50,15;>48;54,29;cible atteinte;>48
CB-P224-1-1;Programme;BG;CB;Culture;224;Soutien aux politiques du ministère de la culture;P224-1;Optimiser l'utilisation des crédits dédiés aux fonctions soutien;;P224-1-1;Taux de féminisation dans les nominations;;Citoyen;31299.0;Part des femmes renouvelées sur leur poste;Budget intégrant l'égalité Femmes-Hommes;%;38,8;39,1;45;36,5;absence amélioration;50
CB-P224-1-1;Programme;BG;CB;Culture;224;Soutien aux politiques du ministère de la culture;P224-1;Optimiser l'utilisation des crédits dédiés aux fonctions soutien;;P224-1-1;Taux de féminisation dans les nominations;;Citoyen;31300.0;Part des femmes en fonction sur des emplois dits supérieurs;Budget intégrant l'égalité Femmes-Hommes;%;38,4;39,1;45;40,5;amélioration;50
CB-P224-1-1;Programme;BG;CB;Culture;224;Soutien aux politiques du ministère de la culture;P224-1;Optimiser l'utilisation des crédits dédiés aux fonctions soutien;;P224-1-1;Taux de féminisation dans les nominations;;Citoyen;31301.0;Part des femmes nommées pour la première fois sur un poste;Budget intégrant l'égalité Femmes-Hommes;%;52,8;66,7;45;53,6;cible atteinte;50
CB-P224-1-2;Programme;BG;CB;Culture;224;Soutien aux politiques du ministère de la culture;P224-1;Optimiser l'utilisation des crédits dédiés aux fonctions soutien;;P224-1-2;"Taux de dématérialisation des démarches de subvention 
_x000D_et taux de satisfaction usager sur les démarches en ligne";;Usager;31296.0;Taux de dématérialisation des démarches de subvention;;%;80;82;92;98;cible atteinte;92
